First Name,Last Name,Gender,Age,Email,Education,Marital Status,Income
Chester,Craig,Male,34,CCraig@randatmail.com,11th,Never-married,<=50k
Reid,Phillips,Male,38,RPhillips@randatmail.com,10th,Never-married,<=50k
Sarah,Johnson,Female,32,SJohnson@randatmail.com,11th,Never-married,>50k
Lucy,Turner,Female,39,LTurner@randatmail.com,11th,Married-civ-spouse,>50k
Connie,Smith,Female,36,CSmith@randatmail.com,Assoc-acdm,Never-married,<=50k
Belinda,Jones,Female,32,BJones@randatmail.com,Some-college,Married-civ-spouse,>50k
Luke,Williams,Male,30,LWilliams@randatmail.com,HS-grad,Married-civ-spouse,<=50k
Michael,Barrett,Male,40,MBarrett@randatmail.com,HS-grad,Married-civ-spouse,<=50k
Kirsten,Russell,Female,37,KRussell@randatmail.com,7th-8th,Never-married,>50k
Annabella,Johnson,Female,30,AJohnson@randatmail.com,Assoc-acdm,Married-civ-spouse,<=50k
Eleanor,Crawford,Female,38,ECrawford@randatmail.com,10th,Never-married,<=50k
Amelia,Myers,Female,35,AMyers@randatmail.com,HS-grad,Never-married,>50k
Derek,Miller,Male,39,DMiller@randatmail.com,7th-8th,Never-married,>50k
Tess,Thomas,Female,37,TThomas@randatmail.com,10th,Never-married,<=50k
Florrie,Miller,Female,30,FMiller@randatmail.com,Assoc-acdm,Never-married,<=50k
Maria,Murphy,Female,33,MMurphy@randatmail.com,7th-8th,Married-civ-spouse,<=50k
Kellan,Andrews,Male,35,KAndrews@randatmail.com,7th-8th,Married-civ-spouse,>50k
Alfred,Wilson,Male,40,AWilson@randatmail.com,Assoc-acdm,Married-civ-spouse,<=50k
Tony,Carter,Male,34,TCarter@randatmail.com,HS-grad,Married-civ-spouse,<=50k
Savana,West,Female,35,SWest@randatmail.com,7th-8th,Married-civ-spouse,<=50k
Oscar,Harris,Male,36,OHarris@randatmail.com,Some-college,Married-civ-spouse,>50k
Brooke,Hall,Female,39,BHall@randatmail.com,11th,Married-civ-spouse,<=50k
Roman,Johnston,Male,32,RJohnston@randatmail.com,Assoc-acdm,Married-civ-spouse,<=50k
Jack,Ferguson,Male,36,JFerguson@randatmail.com,Some-college,Married-civ-spouse,<=50k
Max,Rogers,Male,35,MRogers@randatmail.com,7th-8th,Married-civ-spouse,<=50k
Jenna,Nelson,Female,36,JNelson@randatmail.com,Some-college,Never-married,>50k
Amber,Ferguson,Female,35,AFerguson@randatmail.com,Assoc-acdm,Never-married,<=50k
Elise,Barnes,Female,34,EBarnes@randatmail.com,Assoc-acdm,Never-married,<=50k
Arianna,Hill,Female,39,AHill@randatmail.com,HS-grad,Never-married,<=50k
Owen,Morris,Male,31,OMorris@randatmail.com,10th,Never-married,<=50k
Kellan,Edwards,Male,36,KEdwards@randatmail.com,10th,Married-civ-spouse,>50k
Sophia,Wright,Female,34,SWright@randatmail.com,7th-8th,Never-married,<=50k
Adele,Moore,Female,39,AMoore@randatmail.com,11th,Married-civ-spouse,<=50k
Olivia,Wells,Female,33,OWells@randatmail.com,HS-grad,Never-married,<=50k
Fenton,West,Male,37,FWest@randatmail.com,7th-8th,Never-married,>50k
Evelyn,Harrison,Female,30,EHarrison@randatmail.com,11th,Married-civ-spouse,>50k
Michelle,Edwards,Female,35,MEdwards@randatmail.com,11th,Married-civ-spouse,<=50k
David,Riley,Male,35,DRiley@randatmail.com,Some-college,Married-civ-spouse,<=50k
Amanda,Elliott,Female,39,AElliott@randatmail.com,11th,Married-civ-spouse,<=50k
Rebecca,Murphy,Female,32,RMurphy@randatmail.com,Some-college,Married-civ-spouse,>50k
Cherry,Ryan,Female,37,CRyan@randatmail.com,11th,Married-civ-spouse,<=50k
Amy,Owens,Female,39,AOwens@randatmail.com,10th,Never-married,<=50k
Amanda,Crawford,Female,35,ACrawford@randatmail.com,7th-8th,Never-married,<=50k
